Review_ID,Restaurant_ID,User_Name,Review_Rating,Review_Text
1,101,Amit,5,Excellent food and great service.
2,101,Neha,4,"Good Gujarati food, nice ambience."
3,102,Rahul,4,Tasty food but a little expensive.
4,102,Priya,3,"Food was good, service was slow."
5,103,Karan,4,Great portions and reasonable price.
6,104,Riya,5,Amazing coffee and peaceful place.
7,104,Vikas,4,Good cafe for working and meetings.
8,105,Sana,5,Best biryani I have tried!
9,105,Arjun,4,Very flavorful and filling.
10,106,Meera,3,Pizza was okay but could be better.
11,107,Nikhil,5,Fresh vegetarian food and friendly staff.
12,108,Pooja,4,Authentic South Indian flavors.
13,109,Dev,5,Loved the desserts and bakery items.
14,110,Ishita,3,Average Chinese food for the price.
